ID,Type,Final Classification,Sensor Classification,Vision Classification,Weight,Time to classify,Inductive,Proximity,Image path,Image name,Bin class,Bin weight change,Time to bin,Bin entered,Error Type
119,metal,ItemType.metal,ItemType.metal,ItemType.glass,11,4.644880056,937,9,/home/student/images/object_119.png,image_119.png,None,None,None,metal,
120,metal,ItemType.metal,ItemType.metal,ItemType.plastic,11,4.650374174,936,8,/home/student/images/object_120.png,image_120.png,None,None,None,metal,
121,metal,ItemType.metal,ItemType.metal,ItemType.glass,11,4.71424222,937,7,/home/student/images/object_121.png,image_121.png,None,None,None,metal,
122,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,11,4.660501003,165,8,/home/student/images/object_122.png,image_122.png,None,None,None,plastic,
123,glass,ItemType.glass,ItemType.glass,ItemType.metal,322,4.665146112,168,20,/home/student/images/object_123.png,image_123.png,None,None,None,plastic,Sorting arm didn’t move
124,plastic,ItemType.plastic,ItemType.plastic,ItemType.metal,8,4.627261877,170,9,/home/student/images/object_124.png,image_124.png,None,None,None,plastic,
125,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,4.645737171,933,8,/home/student/images/object_125.png,image_125.png,None,None,None,none,Sorter arm error I2C error
126,metal,ItemType.metal,ItemType.metal,ItemType.glass,8,5.661670208,933,9,/home/student/images/object_126.png,image_126.png,None,None,None,metal,
127,glass,ItemType.glass,ItemType.glass,ItemType.metal,371,4.642829895,165,7,/home/student/images/object_127.png,image_127.png,None,None,None,glass,
128,glass,ItemType.glass,ItemType.glass,ItemType.glass,510,4.76205492,178,5,/home/student/images/object_128.png,image_128.png,None,None,None,glass,
129,metal,ItemType.metal,ItemType.metal,ItemType.plastic,9,4.694678068,935,9,/home/student/images/object_129.png,image_129.png,None,None,None,metal,
130,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,9,4.680608988,167,8,/home/student/images/object_130.png,image_130.png,None,None,None,plastic,
131,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,9,4.786090136,172,8,/home/student/images/object_131.png,image_131.png,None,None,None,plastic,
132,glass,ItemType.glass,ItemType.glass,ItemType.glass,516,4.675248146,179,7,/home/student/images/object_132.png,image_132.png,None,None,None,glass,
133,glass,ItemType.glass,ItemType.glass,ItemType.plastic,444,4.644486904,167,7,/home/student/images/object_133.png,image_133.png,None,None,None,glass,
134,metal,ItemType.metal,ItemType.metal,ItemType.metal,16,4.728740931,927,20,/home/student/images/object_134.png,image_134.png,None,None,None,glass,sorting arm stuck
135,metal,ItemType.metal,ItemType.metal,ItemType.metal,16,4.646183014,930,7,/home/student/images/object_135.png,image_135.png,None,None,None,metal,
136,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,16,4.643460035,172,10,/home/student/images/object_136.png,image_136.png,None,None,None,plastic,
137,none,ItemType.plastic,ItemType.plastic,ItemType.metal,16,4.652726889,166,19,/home/student/images/object_137.png,image_137.png,None,None,None,plastic,mistakenly detected object
138,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,8,4.694559097,169,9,/home/student/images/object_138.png,image_138.png,None,None,None,plastic,
139,metal,ItemType.metal,ItemType.metal,ItemType.metal,8,4.699692011,926,45,/home/student/images/object_139.png,image_139.png,None,None,None,metal,
140,glass,ItemType.glass,ItemType.glass,ItemType.glass,386,4.682890177,163,9,/home/student/images/object_140.png,image_140.png,None,None,None,glass,
141,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,11,4.789422035,165,8,/home/student/images/object_141.png,image_141.png,None,None,None,plastic,
142,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,11,4.729393959,168,7,/home/student/images/object_142.png,image_142.png,None,None,None,plastic,
143,metal,ItemType.metal,ItemType.metal,ItemType.plastic,8,4.649493933,914,13,/home/student/images/object_143.png,image_143.png,None,None,None,metal,
144,plastic,ItemType.plastic,ItemType.plastic,ItemType.plastic,8,4.643018961,168,8,/home/student/images/object_144.png,image_144.png,None,None,None,plastic,
145,glass,ItemType.glass,ItemType.glass,ItemType.metal,492,4.635401011,177,8,/home/student/images/object_145.png,image_145.png,None,None,None,glass,
146,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,12,4.70716095,170,8,/home/student/images/object_146.png,image_146.png,None,None,None,plastic,
147,glass,ItemType.glass,ItemType.glass,ItemType.metal,483,4.695732117,182,7,/home/student/images/object_147.png,image_147.png,None,None,None,glass,
148,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,10,4.664273977,175,8,/home/student/images/object_148.png,image_148.png,None,None,None,plastic,
149,plastic,ItemType.plastic,ItemType.plastic,ItemType.glass,8,4.733474016,169,8,/home/student/images/object_149.png,image_149.png,None,None,None,plastic,
150,glass,ItemType.plastic,ItemType.plastic,ItemType.plastic,8,4.65850997,164,20,/home/student/images/object_150.png,image_150.png,None,None,None,plastic,
